workload,version,n,m,k,rows,cols,calls,transactions,tx_bytes,rx_bytes
vector,2,256,0,0,4,4,1,193,1410,2241
vector,3,256,0,0,4,4,1,65,1474,641
dot,2,256,0,0,4,4,1,515,5188,547
dot,3,256,0,0,4,4,1,259,5700,547
scan,2,256,0,0,4,4,1,257,1474,2305
scan,3,256,0,0,4,4,1,65,1474,641
matvec,2,32,32,0,4,4,1,648,5776,2696
matvec,3,32,32,0,4,4,1,264,6160,2568
conv,2,64,0,5,4,4,1,336,3680,1360
conv,3,64,0,5,4,4,1,144,3872,1296
